"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAPK3",-1.05814461570026,9.29074672361913,-8.53885003607857,9.15366626733232e-08,3.75653059398672e-06,8.13105203315368
"ACKR1",-2.7409037107159,6.92271813286296,-8.52863003964991,9.31595690098053e-08,3.80116026885027e-06,8.11351171823874
"PDK4",-1.24356358124854,5.75665045096517,-8.52074705503236,9.4431843620588e-08,3.84421631135311e-06,8.0999727354635
"TP53I3",-1.60257680566432,9.94264355025223,-8.50885824280044,9.63850067804785e-08,3.88072638831269e-06,8.0795379090986
"TMEM133",-1.32012814312309,7.81154039825065,-8.50027735870096,9.78208621459996e-08,3.92046220300643e-06,8.0647769875922
"SCNN1G",-1.45893613147562,5.23627556385494,-8.4987747623147,9.8074580044864e-08,3.92046220300643e-06,8.06219118335612
"PRDX6",-1.45719766648659,11.8120465483739,-8.45832629789835,1.05168627506451e-07,4.12520551981566e-06,7.99246909850636
"MT1F",-2.10007015319496,9.94496696808154,-8.41873929016764,1.12630808026464e-07,4.33018696779e-06,7.92401742528012
"INSL5",-3.00049462519821,6.61226095594784,-8.41273308423295,1.1381032327983e-07,4.36765058655335e-06,7.91361325422724
"RNF125",-1.40466254338128,6.71630770259891,-8.40988115039458,1.14374894883965e-07,4.38142245707476e-06,7.90867131464545
"VIPR1",-1.41653773227688,8.3224533919341,-8.40131102745101,1.16089076700133e-07,4.43910456846703e-06,7.89381403252932
"MCL1",-1.00198069183859,7.25834448258587,-8.37923977793372,1.20628139211967e-07,4.57978384505472e-06,7.85550506354241
"AK1",-1.4586441127979,8.52166365377002,-8.33040893886697,1.31340119605768e-07,4.89502485331938e-06,7.77051401271898
"ITM2C",-1.85626539529748,12.0688894429888,-8.31762454189761,1.34305201671966e-07,4.966261268075e-06,7.74820883300888
"CCDC107",-1.09064606994578,7.8912100350441,-8.30631850613642,1.36985524107172e-07,5.03043909992873e-06,7.72846439228874
"SLC25A23",-1.13065888393125,7.61900141536978,-8.30523028156241,1.3724643345889e-07,5.03134558733373e-06,7.72656303654035
"CHP2",-2.91517676902731,9.50918596458151,-8.29502127165868,1.39719475231883e-07,5.11210250166575e-06,7.70871788592641
"FLJ36848",-1.11776062180142,5.87954213788593,-8.25617805342661,1.49561431832848e-07,5.34601024423194e-06,7.64069045449286
"B3GALT5",-1.93972909849374,6.67235068749278,-8.23832376054543,1.54325029231154e-07,5.47095265578525e-06,7.60935235576807
"CNTN3",-2.3058653411152,5.0406348276611,-8.23813789353742,1.54375442327195e-07,5.47095265578525e-06,7.6090258897661
"SLC22A18AS",-1.58933678702826,8.60511682234456,-8.2296943616139,1.5668378572588e-07,5.52517872876742e-06,7.59419025941753
"GDPD3",-2.37009569974701,8.87396841159946,-8.2243896293389,1.58152390541587e-07,5.54940323911905e-06,7.58486462893046
"LOC101928673",-1.06551908771345,5.36306384225257,-8.20968713554459,1.62298171039594e-07,5.63913335232024e-06,7.55899771766357
"ACTN4",-1.14062002266232,9.74148256612535,-8.15899682360595,1.77480973542734e-07,5.96240892032602e-06,7.46958785201177
"VIP",-3.5780480678386,6.75650134219584,-8.13422033224397,1.85433309713335e-07,6.14237023885587e-06,7.42575738851688
"PDE9A",-1.47469974076707,6.63431165451883,-8.13304267331213,1.85820410012208e-07,6.14563495784163e-06,7.42367196526717
"FAM107B",-1.85318212292257,9.8972069349819,-8.13007466876885,1.86799740291067e-07,6.16844599761153e-06,7.4184153128439
"NR5A2",-1.22327990952719,5.31657800505568,-8.11422779727727,1.9212034859249e-07,6.31477053190039e-06,7.39032827285969
"SEMA6D",-1.22525390282321,5.99253866991132,-8.11321415335872,1.9246600615767e-07,6.31638438390173e-06,7.38853050970293
"EPHX1",-1.21946409738603,6.08789103900772,-8.10942803259644,1.93762829383084e-07,6.3410693600147e-06,7.38181432650078
"CDA",-1.94204702677757,7.60978548988362,-8.10755121622588,1.94409047001718e-07,6.3410693600147e-06,7.37848431732576
"CDKN1A",-1.64423554624201,10.5850590584985,-8.08891516642185,2.00948845392865e-07,6.48490700065364e-06,7.34539226813906
"PKIB",-3.84602054982377,8.15775329711893,-8.08319472380543,2.03001904354699e-07,6.50186099376051e-06,7.33522486025838
"PYY",-1.66317764194532,6.05485081112233,-8.07635615693792,2.05484950011923e-07,6.5715074328888e-06,7.32306419076092
"GRAMD3",-1.36160931462648,6.9242620115282,-8.05613700938406,2.13013071909614e-07,6.75143663482569e-06,7.28707174549095
"MIER3",-1.54043046943465,6.69482924402561,-8.04769518666759,2.1624063763971e-07,6.82327309790843e-06,7.27202759692699
"LGALS2",-2.71740381716222,7.85265607055345,-7.99531904601788,2.37437174203446e-07,7.36124362934381e-06,7.17846787596155
"ZFP36",-1.30883647319401,10.9237819258888,-7.98732454550547,2.40858067218857e-07,7.4240752151873e-06,7.16415384882166
"DISP2",-1.91272415443069,7.63333016228201,-7.9848229861617,2.41939005769563e-07,7.4466168842282e-06,7.15967302673763
"MT1H",-2.1099117831246,10.7281740100297,-7.93324967196226,2.65386015927709e-07,7.95000949823387e-06,7.06710089467657
"TSPAN7",-2.6514394625625,8.38844017864511,-7.91467618919082,2.74399099766367e-07,8.18547118476729e-06,7.03367176016711
"ENDOD1",-1.5718105206134,8.81795246210527,-7.90957046760403,2.76932140200153e-07,8.24947923653575e-06,7.02447392271876
"ITPKA",-1.80983981582196,7.40784961782878,-7.90688027277603,2.78276570714703e-07,8.27795066990567e-06,7.01962614230167
"KAT2B",-1.75225466730133,7.29691471479825,-7.9015651218718,2.80952832326921e-07,8.3342818603497e-06,7.01004518510333
"CIDEC",-1.5010743316514,8.64555018515949,-7.8745213512957,2.94990696821893e-07,8.63224223145551e-06,6.96123590813927
"RAB27A",-1.68271032987612,8.56025641976154,-7.8696267129522,2.97608430412248e-07,8.65910130312954e-06,6.9523910658166
"PRKAR2B",-2.30823570589322,7.09201171432835,-7.86889672925633,2.98000904042159e-07,8.65910130312954e-06,6.95107166509078
"ANO5",-2.26916370404478,5.9848118745007,-7.85591578085599,3.050707319395e-07,8.82480913697558e-06,6.92759700793833
"PADI2",-1.53679113355683,6.65728266413277,-7.84245510579119,3.12586366471769e-07,8.94862502618577e-06,6.9032300324682
"ABCC13",-1.03164171118283,4.83153533251218,-7.83487873940941,3.16901036815768e-07,9.04549343353534e-06,6.88950393179968
"METRNL",-1.52888548358672,8.77686089826693,-7.82405229031463,3.23174415433939e-07,9.16304143148779e-06,6.86987577396696
"IL1R2",-3.1536632483916,7.7822420981479,-7.7843848728885,3.47285575927325e-07,9.58139311097939e-06,6.79781980386891
"MXD1",-1.69994316786235,8.7647954603625,-7.76173278293549,3.61886637569629e-07,9.89451026135497e-06,6.7565737231194
"VSIG2",-2.54949554021324,8.83831787625828,-7.75687937137887,3.65097268772065e-07,9.94399837285962e-06,6.74772706321428
"PIM1",-1.028039924887,8.47235913861427,-7.74504584777361,3.73050175768637e-07,1.0096055519309e-05,6.72614346259406
"HEPACAM2",-3.35904675294375,6.92593141363578,-7.73657959771611,3.78850466146074e-07,1.01928729267784e-05,6.71068955008143
"ENTPD5",-1.60598880629042,8.2479413027712,-7.73380422361874,3.80772244263134e-07,1.02013434346673e-05,6.70562132681289
"SLC13A2",-1.21627005314723,6.63377101170023,-7.72931278789212,3.83903798455937e-07,1.02723203559209e-05,6.69741705284813
"TMEM246",-1.51411890131967,7.79777283326405,-7.72372454809908,3.87837507054269e-07,1.03515677478056e-05,6.68720536661422
"BLVRB",-1.09989760993794,9.42363829915089,-7.72136230464424,3.89512935083852e-07,1.03832740980613e-05,6.68288740138793
"CLDN23",-2.05644681466832,7.0427952667087,-7.67048482809931,4.27484668834949e-07,1.1158083286171e-05,6.58969859393403
"TMEM72",-1.00266507565857,5.79515309033498,-7.65796393861153,4.3740683776629e-07,1.13855326955437e-05,6.56670939176379
"ARL14",-3.08138873104388,9.63288401276151,-7.65606614190571,4.38931514146234e-07,1.13936031027073e-05,6.56322299275597
"EIF4E3",-1.1542007937397,6.60614299667209,-7.65303308572548,4.41379732035171e-07,1.14366750761765e-05,6.55764998740743
"CSRNP1",-1.46266276681386,8.6621056612233,-7.64344353085557,4.49214041562977e-07,1.15512722215481e-05,6.54002144900632
"CLU",-2.22290009323843,6.53715130130706,-7.64297706772196,4.49598792040161e-07,1.15512722215481e-05,6.53916361844972
"LAMA1",-1.22862966700146,5.34376271068309,-7.6337989019274,4.57239264865313e-07,1.16911633881948e-05,6.5222786765403
"SCGB2A1",-2.08622026424717,5.52925847446798,-7.62596792278431,4.63864948715632e-07,1.17617406078733e-05,6.50786280523152
"GHR",-2.27539643300099,5.22427934309401,-7.61889189983286,4.69937718806199e-07,1.19015499082678e-05,6.49482932610409
"NAP1L2",-1.71683807973986,4.73377027007425,-7.61734299827915,4.71278004569468e-07,1.19071770098756e-05,6.49197543499519
"SPINK5",-3.19192881972832,9.20849478777374,-7.59752102979153,4.88785354103249e-07,1.21533779290626e-05,6.45542326190695
"FRMD3",-1.6477585064668,6.4167720222308,-7.5972704164796,4.89010981041675e-07,1.21533779290626e-05,6.45496077255222
"SLC51B",-2.64418853457024,8.27613960185845,-7.55417610313484,5.2946522657135e-07,1.3052175764749e-05,6.37530227124434
"KCNK6",-1.03866695559038,6.86161837562511,-7.539296468441,5.44228416048717e-07,1.33235873947375e-05,6.34773723155467
"FAM107A",-1.33445646532263,6.67754884920736,-7.53530012519565,5.48265911586605e-07,1.3364201655585e-05,6.34032857510224
"NPY1R",-1.82274349085457,4.44365954087706,-7.52564099255968,5.581535678647e-07,1.34785859886057e-05,6.3224126519735
"HCFC2",-1.07945125059233,6.1822070404277,-7.52081639429371,5.63161527428046e-07,1.35841193348697e-05,6.3134590021275
"C11orf86",-1.69140947099291,8.62547347091511,-7.51561021287045,5.68617980667409e-07,1.36675810117028e-05,6.30379353302888
"CHRDL1",-3.37401937866196,6.32119993119387,-7.49916491164083,5.8621753031391e-07,1.39350972970491e-05,6.27323723216297
"GPD1L",-1.38445153534959,10.5629829368356,-7.48667633280405,5.99960210448969e-07,1.41953943638945e-05,6.25000738328788
"SMPDL3A",-1.15400943200374,6.31119554854034,-7.4763462727855,6.11580425466231e-07,1.42829511864093e-05,6.23077602113651
"CDHR5",-2.16977440293395,7.31761964278281,-7.47295888833337,6.15441583207966e-07,1.43376068790765e-05,6.22446650162
"FAM160A2",-1.12378819129858,9.34145833826867,-7.45263357840741,6.39147765154633e-07,1.46536149085345e-05,6.18657367607891
"EFHD2",-1.07824580646354,9.36646049750725,-7.43581185150052,6.59484385735588e-07,1.49160191460369e-05,6.15516876222644
"SRPX",-2.75050843050739,7.09022720240419,-7.4041503230762,6.99605387306289e-07,1.55704233482097e-05,6.09595123467654
"KCTD9",-1.63413411948138,8.13869737826199,-7.40187659247974,7.02582492989049e-07,1.56203596223108e-05,6.09169318717624
"SULT1A2",-1.49043944862473,9.33449975686217,-7.37500855182852,7.38775328364342e-07,1.61884523856298e-05,6.04132202827863
"ZG16",-4.45034299420469,10.0308493223291,-7.36071998704682,7.58806363992435e-07,1.65253749966001e-05,6.0144930732188
"WSB2",-1.09485076493709,10.4721461924743,-7.35588028884329,7.65718290181139e-07,1.6613362502915e-05,6.00539930016546
"JOSD1",-1.08157647679156,9.79478872425935,-7.34950616340358,7.74921540335701e-07,1.67224456814692e-05,5.99341732349679
"TNFRSF17",-1.64929984846818,4.65905593971063,-7.32092085710623,8.17628920797202e-07,1.74146783840596e-05,5.93961293338636
"DHRS11",-2.0830351221824,9.90689991517681,-7.30141049464212,8.48175501514306e-07,1.79309649772593e-05,5.90282384537756
"SAMD9",-1.82105543067025,7.43763858318587,-7.29344832869868,8.60979780546291e-07,1.81026735891959e-05,5.88779487855017
"P2RY14",-2.54828990226477,5.92371900171675,-7.28801790820746,8.69827630735512e-07,1.82167735565739e-05,5.87753959347267
"CAPN9",-2.10155545165161,6.8223820315735,-7.2872988908445,8.71006191099338e-07,1.82235371947198e-05,5.87618142710833
