"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLDN7",-1.26711916029304,9.97459119431509,-10.6293543443947,5.59429899210989e-08,3.22035065494456e-06,8.74674723990457
"NDUFC1",-1.06103267293455,7.47593847110628,-10.5939702443702,5.82775260125134e-08,3.31000807077473e-06,8.70494780409355
"CLDN23",-2.0206189064744,5.76292496375858,-10.5598026985099,6.06304887308272e-08,3.41631952242828e-06,8.6644721034848
"ME2",-1.60654427933561,8.24140658298445,-10.5389078646388,6.21191190515414e-08,3.49096336854559e-06,8.63966448863662
"CCL28",-1.88820417249862,6.89122426174233,-10.5340289457899,6.24722879227303e-08,3.50157173806903e-06,8.63386590485909
"FOXA1",-1.41636759285137,4.26909071650731,-10.5281012691097,6.29042527135982e-08,3.51652934001818e-06,8.62681779657774
"CLIC5",-1.53511203344219,6.30253256868534,-10.5231226464219,6.3269515490762e-08,3.51847887842752e-06,8.62089551875493
"PBLD",-2.50311921503228,8.12488438120188,-10.4831054201928,6.62887823716637e-08,3.65773257962193e-06,8.57320661909093
"PAQR5",-1.80219017031183,6.39002727826224,-10.475752546365,6.68600488144392e-08,3.67972139457039e-06,8.56442731565022
"CES3",-1.55630729793962,7.63383369459793,-10.4638575448915,6.77953361834439e-08,3.69302523112832e-06,8.55021365005782
"ACAA2",-1.45621763166707,7.77570679145009,-10.4588846446194,6.81904696040197e-08,3.70507350024494e-06,8.54426733137937
"CYSTM1",-1.53942545887389,10.428077143323,-10.4016546989203,7.29185335679249e-08,3.92194910723038e-06,8.47566200951582
"LIPH",-1.69393117835158,6.37992352419113,-10.3875788325464,7.41341126668537e-08,3.95022307589882e-06,8.45873943704062
"PINK1",-1.08373057535127,7.42523553121826,-10.3378648433612,7.86030087208521e-08,4.13374193270476e-06,8.39881604510491
"SLC35A3",-1.27235113700531,9.00253534672781,-10.3274284097553,7.95770916043101e-08,4.16742995789653e-06,8.3862055383102
"PDE9A",-1.20719194588835,5.08050358778991,-10.3234010140355,7.99564177339358e-08,4.17399936596838e-06,8.38133630586502
"POLD4",-1.15617771573656,7.95201039312023,-10.3112035509279,8.11170445996789e-08,4.19347556536058e-06,8.36657948674553
"STYK1",-2.23473631574676,5.90567812842067,-10.2956500552644,8.2623090950864e-08,4.24489618377491e-06,8.34774115807359
"ELOVL6",-1.76213444206357,6.36274842358522,-10.2951586519967,8.26711560357103e-08,4.24489618377491e-06,8.34714558314495
"LOC727916",-1.40790016585475,3.67662734147652,-10.2946689165002,8.27190876117066e-08,4.24489618377491e-06,8.34655200579193
"NEURL1B",-1.3669398442852,8.77975830300724,-10.2837613170522,8.37943441919033e-08,4.27994181521187e-06,8.33332545003942
"LOC105374984",-1.02239673136098,4.27856620980765,-10.276963141275,8.44720190992275e-08,4.30423333682882e-06,8.32507602691816
"MS4A12",-6.03969479077341,9.14133271704665,-10.2594905566848,8.62406829085152e-08,4.38181858219106e-06,8.30385245656377
"APOBR",-1.22520109477635,6.77783154930097,-10.2285407345905,8.94710674818433e-08,4.4944440242825e-06,8.26618397459423
"GCNT3",-3.30430065975206,9.02113143658898,-10.2221588787411,9.01530541126878e-08,4.5180468224615e-06,8.25840487732458
"BTNL8",-3.30612009048605,7.26067337968987,-10.2019549690924,9.23488487797318e-08,4.58493736633918e-06,8.23375074682698
"CCNYL1",-1.72274832569657,6.70264446990497,-10.1969501216115,9.29015358262842e-08,4.60165072456751e-06,8.22763720614488
"SLCO2A1",-1.75136644909669,7.07150193966366,-10.1875308586187,9.39512801217095e-08,4.64284991951807e-06,8.21612455938073
"EMP1",-1.59041032897814,6.09855675222105,-10.1740278407628,9.54782258979669e-08,4.68153830759296e-06,8.19960507345073
"ETFA",-1.27615654435467,9.87066638540141,-10.1673726952071,9.62405003145424e-08,4.68153830759296e-06,8.1914564989621
"HK2",-1.29242437478287,8.85391535861812,-10.1489116547648,9.83891182444318e-08,4.76159664915844e-06,8.16882949484836
"SLC46A3",-1.72992185682587,7.61982730285097,-10.1472093539693,9.85897986890874e-08,4.76159664915844e-06,8.16674132453194
"FMO4",-1.24398444368174,5.98649596595259,-10.1440902665457,9.89586323165748e-08,4.7685970807935e-06,8.16291446099192
"C1orf115",-1.28622106621098,5.61183843823205,-10.1309519491344,1.00528444623301e-07,4.82242194151283e-06,8.14678408055036
"HOXD1",-1.62890786925515,5.53525512665342,-10.1190044315857,1.01978998113424e-07,4.88101276588273e-06,8.13210059184058
"FXYD3",-1.64508436397173,10.8589663840131,-10.0797604367649,1.06902499679315e-07,5.06943545108333e-06,8.08376831782025
