"","logFC","logCPM","PValue","FDR"
"PCOLCE2",-3.26529807284057,1.156589797052,2.5678093086253e-51,7.85332037632132e-50
"C20orf194",-1.939439505274,2.61957715668753,2.6009417277918e-51,7.94695860794259e-50
"STX12",-1.03890758465319,5.56204515565501,2.8907533422878e-51,8.82391983989358e-50
"TMIGD3",-1.99443803452967,1.47279723981924,3.27628315584896e-51,9.98024212706225e-50
"SMIM28",-3.71269215847268,-2.99665841841815,3.27904641151224e-51,9.98024212706225e-50
"WASL",-1.05782863211773,6.52429933840517,3.34174888045025e-51,1.01612966679562e-49
"C1QTNF2",-1.70010827406993,0.525546376424806,3.72969812760217e-51,1.13082872308383e-49
"AADACL2",-4.12087780994906,-3.15552675790644,4.29263264884507e-51,1.29901478232723e-49
"LINC01537",-2.47471487463978,-2.51469657005199,5.24749565811932e-51,1.58342053798437e-49
"AHNAK",-1.7184883795734,9.1001134216231,5.60699268414498e-51,1.69028358654764e-49
"CD1D",-1.7053574710492,1.55225071186396,6.03992402731505e-51,1.81905929261167e-49
"KIAA0408",-3.36919172546359,-3.08904334869172,7.1525426879141e-51,2.1520979156121e-49
"TOM1L2",-1.17746801760942,5.68127288510211,7.49987984475179e-51,2.25231657733121e-49
"RGMA",-2.43193687045019,3.28708143897917,1.01059362988678e-50,3.03206880807342e-49
"AC103563.1",-3.717145579269,-2.12720200468277,1.04043122955082e-50,3.11862844736233e-49
"STPG1",-1.0915155370775,3.39962647180007,1.04750351831483e-50,3.13685105726259e-49
"GCSAML",-2.55029320130443,-1.49485091437801,1.05367612405179e-50,3.15234751772427e-49
"CD79B",-2.28574919210435,1.87361098322074,1.06973241824324e-50,3.19735631878513e-49
"FAM187B2P",-1.80050056913233,-3.18014928475547,1.12171681744202e-50,3.3495651619514e-49
"ADCY2",-2.23485398510929,0.685440073485169,1.13101644204393e-50,3.37096249561264e-49
"IRF4",-2.43004471102833,2.61986216227067,1.32994911830131e-50,3.95268885178677e-49
"CGN",-1.35473565457564,7.05596359576699,1.52343051450959e-50,4.52347182752833e-49
"MIR3150BHG",-2.66981084785754,-1.41045129718026,1.60008863352903e-50,4.74662912667442e-49
"MADCAM1",-2.37798902621121,0.830204277864584,1.63359219991171e-50,4.84147076658637e-49
"SORBS2",-2.03819417099688,4.90000050795962,1.64077443963366e-50,4.85819933189748e-49
"TSHZ1",-1.25663528325063,4.86446284820089,1.88139778198246e-50,5.56544945001609e-49
"EAF2",-1.27465767076695,1.58135449913933,1.96889130654038e-50,5.8188197425192e-49
"TCEAL5",-3.42634645132005,-2.65879814348564,2.06870307488238e-50,6.1080874995102e-49
"SLC16A9",-2.33467827810163,3.82152229751616,2.22631653285605e-50,6.56732196288713e-49
"LARGE1",-1.24914759304915,4.69644298663521,2.28120118064557e-50,6.71668116497068e-49
"CYS1",-2.17161331760368,1.52359943948705,2.97284440407997e-50,8.74497888809112e-49
"RND2",-2.29255442183773,-0.360709743206528,3.05322647721985e-50,8.97307759021459e-49
"F13A1",-2.6012442341484,4.27580107972421,3.47023198511002e-50,1.01891300283997e-48
"STAP1",-2.54715002975938,-0.675156273569603,3.67554999495677e-50,1.07819545952339e-48
"AC107959.1",-1.76146344284756,-1.38476737753809,3.70918236653643e-50,1.08604447178856e-48
"SPINK2",-3.01993571391543,-1.38591200922061,3.74486518740933e-50,1.09547709135021e-48
"IL16",-1.83609647693426,3.20776131456079,4.49255268558852e-50,1.31176725504434e-48
"MPPE1",-1.0648413346691,3.65864333340111,4.51321214041331e-50,1.3165827437865e-48
"ILK",-1.33322997108104,3.72004154846527,4.84514654484857e-50,1.41210991504982e-48
"AC103740.1",-2.36115929621873,0.0128084810456332,5.04976543610426e-50,1.47038930343633e-48
"LINC01475",-2.47257403526112,-2.32597854537902,5.69603454859768e-50,1.65704253677575e-48
"GIMAP7",-1.77571401142533,2.47577974307038,5.96914864624581e-50,1.73330251085335e-48
"ACVRL1",-1.55350257264689,6.18401083410028,6.00516170546236e-50,1.74056030973094e-48
"SYNE3",-1.66787909397451,2.76666027568412,6.16537659341399e-50,1.7853596949196e-48
"GIMAP1",-1.67836753519223,1.87136480736244,6.72830618643092e-50,1.94480674609252e-48
"IGHV3-7",-3.89121883271173,0.620929715508871,7.48138904428572e-50,2.16050753268847e-48
"RERG",-2.33111571302407,2.12417434129108,7.9107724516947e-50,2.28242040243279e-48
"NR3C1",-1.84742307424732,4.05884002524078,8.55865409027805e-50,2.46709451345031e-48
"ARHGEF18",-1.29906645819928,3.45658491025495,9.32803667404534e-50,2.68642354278135e-48
