"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TGS1",1.18313587611613,6.4170685712165,8.17125046446826,5.88946865370091e-07,2.93883591149226e-05,6.41904908539372
"PMEPA1",1.46622665458965,7.90748161691524,8.16317479256843,5.96316566051553e-07,2.94717328689606e-05,6.40661652843118
"PLEKHG4",1.67915978787068,6.23087352523834,8.15646260557148,6.02515788364315e-07,2.96318208606534e-05,6.39627643717259
"PPA1",1.09727971247395,11.4932396094396,8.08889237597119,6.68834380958683e-07,3.18940870879437e-05,6.291848883878
"BRIX1",1.2517460393204,7.82264032768251,8.08299045718819,6.74980695494443e-07,3.19445637696817e-05,6.28269858143527
"GJB3",1.11232178694875,6.11163098620911,8.05922208596842,7.00341054071765e-07,3.28149853096909e-05,6.24580081630737
"SULT2B1",1.21253348865574,4.85481888527636,8.0028318577772,7.64601051399123e-07,3.48717322134477e-05,6.15795668054149
"CD44",1.19427141880338,7.57452634452204,7.98682722583829,7.83947547071745e-07,3.53955988797367e-05,6.13294657506773
"RPP40",1.50446438289866,6.48275557285858,7.98593677120015,7.85038935443654e-07,3.53955988797367e-05,6.13155406230503
"EEF1E1",1.36872504611574,8.58134279482375,7.97226742715172,8.01994768972302e-07,3.56857415205192e-05,6.11016416341184
"ITGA2",1.388988186985,7.54825552705351,7.96623927237342,8.09594184230283e-07,3.57969860426329e-05,6.1007232154523
"PRMT3",1.28729209096052,5.76042679737867,7.94177516950881,8.41220615855896e-07,3.67136711240783e-05,6.06235836694368
"AHCY",1.41674216412458,8.6575758881614,7.93045731041174,8.5628890112714e-07,3.69085989511003e-05,6.04458210011826
"ATP11A",1.1659986984757,5.46824579764006,7.91386382906545,8.7889593500301e-07,3.74398411070633e-05,6.01848826204709
"TRIP13",1.92804577996306,6.76127519656712,7.86290815008697,9.52324026404992e-07,3.94241216733284e-05,5.93812430508753
"IER3",1.29432557806418,11.0172498812923,7.8248874523628,1.01129794738354e-06,4.10828365146835e-05,5.87792967549002
"FAM92A1",2.00507024428087,5.83545226603359,7.78799048026716,1.07220678678141e-06,4.2879165681135e-05,5.81932495276484
"SKA3",1.64801821185454,5.75303235439999,7.74073670314738,1.15589290521928e-06,4.48915438406399e-05,5.74399729069584
"GGCT",1.08346085185669,9.04606277512413,7.7317586228125,1.17255423876789e-06,4.52351688902508e-05,5.72965054067824
"CCND1",1.06427658596262,6.13887174057009,7.72547991781166,1.18435589458941e-06,4.55276074091552e-05,5.71961073033462
"NUP37",1.115951637089,6.59316477962379,7.69177380089863,1.24987947493472e-06,4.7154261181037e-05,5.66562090049007
"DDX21",1.34049705528994,9.39183170754646,7.67678366550322,1.28023273650646e-06,4.75676988555859e-05,5.64155961603769
