"","logFC","logCPM","PValue","FDR"
"PCMTD1P3",3.23783600979607,-2.83617628987123,3.27773938747136e-20,2.3707330693311e-19
"AC003958.2",5.99419376099535,-1.9031004134892,3.33458586224908e-20,2.41019380338676e-19
"PNPLA3",3.63853026717339,0.591306388475713,3.3661132143172e-20,2.43186862062482e-19
"DLGAP5",1.13845748217754,4.62426318406492,3.67042274248923e-20,2.64748095213384e-19
"AP000487.1",1.11768708842267,-0.193376508490487,3.74288262575634e-20,2.69789848951677e-19
"AC145423.2",2.11940864040959,-2.50860229074515,3.81976760294029e-20,2.75268973265722e-19
"EPHB3",1.94778958984998,7.69791223510663,3.83256604435647e-20,2.7606534208699e-19
"CCDC148",2.10398811459181,-0.92734750380273,3.91775336835496e-20,2.82008617376255e-19
"SNRPB",1.14858205072189,8.26387323949578,3.92768565153567e-20,2.82659163528398e-19
"AL590483.3",2.98719151359696,-2.12858255979054,4.00622083540813e-20,2.88179724164501e-19
"AP002414.4",2.88649139534623,-0.540567514270796,4.05051671257608e-20,2.91299737082668e-19
"POLE2",1.06312788365276,3.08899903768086,4.07940042350933e-20,2.93243452969125e-19
"RNU6-850P",1.99175594641187,-1.59943406818888,4.22642122442547e-20,3.03535634788074e-19
"PRR5-ARHGAP8",1.58762483353248,-0.763886432526107,4.2768782189343e-20,3.07089576297253e-19
"AP001024.1",3.09454415708902,1.17260025161784,4.35824850432359e-20,3.12718930268215e-19
"MIR647",1.79567358964075,-0.0367174254837764,4.54643521786077e-20,3.26147883373922e-19
"SNORD14E",2.53154334716234,-1.43657729726456,4.7868569428301e-20,3.42927826292134e-19
"KDELC1",1.09789347045339,2.63049063158991,4.88139846241356e-20,3.49304692237897e-19
"FAM83H",1.08198341947683,7.70085212966226,5.01803198864182e-20,3.58756923777237e-19
"AC145207.1",3.122684980186,-2.71769435935866,5.11265547248658e-20,3.65229718361664e-19
"SNORD100",1.70538145368119,-1.40218943622598,5.31050219671989e-20,3.7898056449282e-19
"LAGE3",1.22183471390713,4.75043589544276,5.3285993321606e-20,3.80186175928071e-19
"AL161729.4",2.08895022287546,-1.38158653324014,5.40868692961419e-20,3.85639011887387e-19
"AL121845.3",1.72952938927044,0.303624426944602,5.45172359543967e-20,3.88619818480879e-19
"GRB7",1.948267450392,6.15049103259631,5.47651790125448e-20,3.9029918803143e-19
"AC004232.3",1.58246983885357,-1.39211755913366,5.48150929041754e-20,3.90566808777991e-19
"C3P1",6.33605782961605,-0.920263781026701,5.51512579767329e-20,3.92873437036961e-19
"AC004080.1",5.23041337008297,-0.799006649887147,5.69141433254009e-20,4.0515739749423e-19
"EPHA1",1.21038295291767,5.30601699696008,5.95084728327562e-20,4.23339604189432e-19
"AC133785.1",4.27030325686999,-2.24409803907959,5.98486874547411e-20,4.25472453365805e-19
"FAM72D",1.7493080325646,-0.337178468077142,6.18139558063934e-20,4.38851304672222e-19
"AC021074.1",3.65571086264169,1.7039304600871,6.20450277096642e-20,4.40392846648264e-19
"PABPC1P3",1.98183105331149,-0.339063906101923,6.29790814827857e-20,4.46821945045059e-19
"AL078587.1",2.56273603083221,-1.46316669250074,6.67492350163451e-20,4.73039161478553e-19
"MCM8",1.10115820893371,4.58389147080609,6.73680193235168e-20,4.77317298606832e-19
"SLC29A1",1.04976489157118,6.64521210221088,6.80539333062183e-20,4.81960976225814e-19
"SLC25A22",1.11437306380575,5.44754147457427,7.00440411901867e-20,4.95610614405726e-19
"SSTR5",4.18016247116241,0.855550813421595,7.07623818001127e-20,5.00581264713605e-19
"ATAD3A",1.17631574226458,5.57936730828985,7.16492332267356e-20,5.06741487649935e-19
"HMGA1P2",2.0011819878518,-0.896356741293585,7.28237942606624e-20,5.14702937824856e-19
"FOLR1",4.4564046564184,2.835157255241,7.33086072199087e-20,5.17897770102544e-19
"LMCD1-AS1",1.63445464984628,-1.04657247621383,7.66847133481455e-20,5.41264555140295e-19
"MAP3K20-AS1",4.00297944231495,1.64027361128421,7.8075069388775e-20,5.50955029528606e-19
"EDAR",2.89195890988781,4.23224275920368,7.9617740502861e-20,5.61465016898859e-19
"MPP6",1.62898041314754,3.4260031812689,8.28008562444542e-20,5.83261416127323e-19
"RPL37P2",2.39836537508086,0.393900016822479,8.44608108176168e-20,5.9429184769732e-19
"DSG1",2.50010933772709,-0.710099090190362,8.74544775251729e-20,6.14671703771476e-19
"AC104297.1",3.0446973068948,-1.54422054082551,9.25430919603251e-20,6.49425567370625e-19
"HAUS7",1.23211469439587,1.8008750461901,9.29711278824846e-20,6.52284442192169e-19
"CENPW",1.12555203500381,4.45252245753399,9.70789773214024e-20,6.80198742629201e-19
"NXPH1",4.32226978382629,-2.59706130230003,1.01889499576492e-19,7.13113637598607e-19
"ZNF887P",1.49784447102432,-1.22658909066192,1.02749222226903e-19,7.18971467954493e-19
"AC092115.1",2.08776808924161,0.0556606428003894,1.02976904684253e-19,7.20405081862179e-19
"DNAH14",1.83164700314748,2.77495682808091,1.03616959748123e-19,7.2472229562153e-19
"AL122020.1",3.28970256528184,2.21531921634539,1.09779285261261e-19,7.66465626355585e-19
"NUP210",1.34429730512336,6.7977143835023,1.10271537103798e-19,7.6964814227475e-19
"AC002116.2",1.16716240445834,-0.577841915578169,1.10283833130054e-19,7.6964814227475e-19
"RIN1",1.15271023863104,4.77638540165845,1.13881718546392e-19,7.93880214924131e-19
"DSC3",4.32752560882185,3.89815829351679,1.13910951184436e-19,7.93908819935999e-19
"FOSL1",2.24424216379954,4.0679047015275,1.17758718506817e-19,8.20364100063038e-19
"AL121899.1",2.45613798045693,-0.826393907448422,1.19778611320717e-19,8.34251690356131e-19
"TRMT6",1.00385946511466,4.79369577641984,1.23316212325463e-19,8.58134162114174e-19
"PLS3",1.08673499920819,5.70777284151725,1.25189496107557e-19,8.70786382766635e-19
"C9orf50",2.12863907151174,-1.46288765942049,1.27818215694776e-19,8.88288800801818e-19
"NOC4L",1.05317442220394,5.19398719552541,1.33267218503282e-19,9.25343128389928e-19
"SNORD101",1.87214554038235,-1.71655211215577,1.34414085703346e-19,9.32691458296906e-19
"TEX30",1.25344979675763,3.20424379581576,1.35935290411834e-19,9.43039883614639e-19
"AC012501.2",5.42365640707629,0.00303070098226687,1.36605713308253e-19,9.47274868425732e-19
"AC079145.1",2.40987547442196,-2.28382734946301,1.39379818677216e-19,9.65875545397954e-19
"PSMG1",1.09952044691118,5.65502141682206,1.39689206560857e-19,9.67807259402885e-19
"AC012618.1",4.33731545852461,1.09352759009531,1.44772645387535e-19,1.00258706394748e-18
"CENPE",1.30997682121855,4.17959334316694,1.49307457542564e-19,1.03376517776511e-18
"TMEM255B",1.73658252547499,3.27838202375504,1.54520013575963e-19,1.06891849986981e-18
"EXTL3-AS1",2.09972622440158,-1.17545386522552,1.55083015313182e-19,1.07234355499876e-18
"ATP2A1-AS1",1.76567541046351,-0.274858933588377,1.58845886552478e-19,1.09692198772731e-18
"TRIM72",5.31995170587572,2.20361405581264,1.63551581903879e-19,1.12867739779145e-18
"SNORD69",2.08777404425564,-2.23628262970066,1.63976354480725e-19,1.13136164383261e-18
"MATN3",2.71385214919124,1.78417460226583,1.67819016385106e-19,1.15762143769752e-18
"BACE2",1.19734982155164,7.56189880301654,1.68616430670483e-19,1.16261433744491e-18
"PLPP4",2.81227079571233,1.42152155439496,1.68722152548637e-19,1.16308945351715e-18
"SNORD48",3.1854454254557,-2.86074487906318,1.75217675113213e-19,1.20707632138067e-18
"HSPD1P5",2.28344008694234,-1.51891454034577,1.84371211667195e-19,1.2690282549459e-18
