"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF627",1.07311440405898,7.67788675070449,6.634711609787,3.0639859683294e-06,4.58607428949037e-05,4.61368533188226
"NUSAP1",1.56335020740105,8.30227731061901,6.62915782680142,3.09772831899323e-06,4.62358202286173e-05,4.60268750411301
"ATAD2",1.44453947513543,6.70706411563418,6.62627948355895,3.11536691783174e-06,4.63900561472371e-05,4.59698602937874
"M6PR",1.04015858722444,9.18791500180044,6.62510196931923,3.12261269375581e-06,4.64445026287046e-05,4.59465326077239
"IFITM2",1.0933826686592,11.4720606823508,6.62433630749736,3.12733350960387e-06,4.64739752231874e-05,4.59313630945222
"WDYHV1",1.04743244105389,7.62942756505781,6.61532826734068,3.18343185658992e-06,4.70860521621588e-05,4.57528329535267
"FANCI",1.1586652189422,7.30643377385479,6.61315497946789,3.19712143952672e-06,4.71902214417738e-05,4.5709743987736
"FUNDC1",1.10150746409765,8.15389835074006,6.58981273746859,3.34805326133499e-06,4.89095928759767e-05,4.52465390375039
"ZNF514",1.00667098835245,6.63249054685202,6.57779172081457,3.42863870036935e-06,4.97795335236311e-05,4.50077029829552
"NEIL3",1.29812297200907,5.58997612404119,6.55700827766062,3.57273160571582e-06,5.15552916464371e-05,4.45943084922022
"UBXN7",1.04041754141551,6.53086371463694,6.54106819568816,3.68748072088263e-06,5.29599810344431e-05,4.42768527716939
"SLC5A6",1.16186670506497,8.9490013188213,6.53771970635022,3.7120664159623e-06,5.32412812077987e-05,4.4210121810252
"UTP4",1.25266698102151,9.54207359341356,6.52595629964485,3.79978936382583e-06,5.41711604150778e-05,4.39755719465871
"NCAPD3",1.03521466102338,8.40432222281137,6.52381048627174,3.81602109108398e-06,5.43034379336559e-05,4.39327664419219
"MMP3",2.77482088408147,7.45090304100242,6.5237187536053,3.81671658700798e-06,5.43034379336559e-05,4.39309363843916
"ZNF185",1.24111400341727,6.84776213735032,6.52330988505637,3.8198181286111e-06,5.43112859287636e-05,4.39227793588261
"TEX30",1.10369135919079,6.86247653190347,6.52145934229878,3.83388836098495e-06,5.44749754507128e-05,4.38858577507327
"CENPF",1.00119359615261,6.24570003459682,6.51984462887197,3.84620929460805e-06,5.46136078439046e-05,4.38536375603707
"LTA4H",1.07554053208167,10.4076155852848,6.50736122315185,3.94285557048142e-06,5.56520084795784e-05,4.36044228302182
"GPSM2",1.39933500868651,7.97717483435355,6.49036771896319,4.07847112212472e-06,5.70370035654198e-05,4.32648306734475
"MSH2",1.33820797126916,7.59510336536523,6.48927905016352,4.08732188719979e-06,5.71232735403335e-05,4.3243061783428
"ZFAND1",1.06764475076667,8.79506973124631,6.4889280261011,4.09017990844571e-06,5.71257323737607e-05,4.32360424068939
"TOP2A",1.54737935335261,7.36935955346405,6.4709112586207,4.23968117734545e-06,5.88618948435892e-05,4.28755401401538
"FANCF",1.02434082805892,7.69366739771242,6.46999680672851,4.24741819966515e-06,5.88618948435892e-05,4.28572309400383
"HENMT1",1.11361846494767,7.85785771002354,6.44958883860062,4.4239374519286e-06,6.07906088958886e-05,4.24483281678533
"MCM7",1.15423794042425,9.3102791215384,6.44132387820448,4.49756708441903e-06,6.16036535890938e-05,4.22825682469528
"ESF1",1.0906586675713,7.52039151553193,6.44009049873284,4.50866295936109e-06,6.17159462541336e-05,4.22578240220078
"ASB9",1.10128951698989,5.95509133281254,6.43497031083281,4.55502919200307e-06,6.20713798851398e-05,4.21550802437712
"MCM2",1.43812182104172,9.57788074228294,6.43129573096178,4.58860815761135e-06,6.24490512133956e-05,4.20813228983898
"MMP7",2.38297069832326,6.88648725842276,6.42367154723887,4.65909789842145e-06,6.32467343138805e-05,4.19282299573353
"TMEM154",1.01639911147225,6.34028904337,6.42053362762746,4.68843388904797e-06,6.34427912343283e-05,4.18651981279856
"NUP155",1.25274729340144,7.55246454607183,6.41332390507998,4.75656203159252e-06,6.40392001965165e-05,4.17203253586815
"ERP27",2.07382661004016,6.61924657798597,6.40441272536704,4.84218414877479e-06,6.47417954706555e-05,4.15411670306007
"EIF3H",1.02106304289492,9.91114836333393,6.3975599295733,4.90911088537466e-06,6.54722309001847e-05,4.14033199149987
"GDPD5",1.04759832439151,7.42904189317995,6.39599294198428,4.92454844870295e-06,6.56370196551466e-05,4.13717904104156
"CDK1",1.38031584765392,6.98837185496904,6.39467414493012,4.93757977308093e-06,6.5769550710976e-05,4.13452522237136
"PLAGL2",1.13214721648944,7.36777126725951,6.38737612164017,5.01034011703095e-06,6.63984690741821e-05,4.11983518426052
"ZNF420",1.14197581556266,6.89573118952326,6.38734616982522,5.01064100471446e-06,6.63984690741821e-05,4.11977488020069
"PUS1",1.07175878620531,8.03135567992,6.38716374412065,5.01247400628494e-06,6.63984690741821e-05,4.1194075873269
"CCDC77",1.12950003903609,6.17584444170406,6.3792101100374,5.09306895669361e-06,6.71437164997753e-05,4.10338954778634
"ARID3A",1.38823086190806,6.12802350759375,6.3742287229875,5.14422661751345e-06,6.75921546739167e-05,4.09335309277777
"LINC00920",1.05705303161795,5.35907942768716,6.36728646176165,5.21640901557614e-06,6.82039874909492e-05,4.07936036030445
"UBE2T",1.51404417573118,7.3347993155645,6.32343217461693,5.69722998221027e-06,7.30555697718824e-05,3.99081987180587
"CYP2S1",1.11005797915516,7.34474479979733,6.32088508520953,5.72652554840171e-06,7.324189958234e-05,3.98566952178299
"E2F5",1.56157233315932,7.44330808839478,6.31370310211849,5.80997048327023e-06,7.41441350048967e-05,3.97114253866243
"FBL",1.08186171052717,11.2040058595091,6.29603612885958,6.02062360643682e-06,7.59675723895129e-05,3.93537852018728
